air_force_blue_raf,"Air Force Blue (Raf)",#5d8aa8
air_force_blue_usaf,"Air Force Blue (Usaf)",#00308f
air_superiority_blue,"Air Superiority Blue",#72a0c1
alabama_crimson,"Alabama Crimson",#a32638
alice_blue,"Alice Blue",#f0f8ff
alizarin_crimson,"Alizarin Crimson",#e32636
alloy_orange,"Alloy Orange",#c46210
almond,"Almond",#efdecd
amaranth,"Amaranth",#e52b50
amber,"Amber",#ffbf00
amber_sae_ece,"Amber (Sae/Ece)",#ff7e00
american_rose,"American Rose",#ff033e
amethyst,"Amethyst",#96c
android_green,"Android Green",#a4c639
anti_flash_white,"Anti-Flash White",#f2f3f4
antique_brass,"Antique Brass",#cd9575
antique_fuchsia,"Antique Fuchsia",#915c83
antique_ruby,"Antique Ruby",#841b2d
antique_white,"Antique White",#faebd7
ao_english,"Ao (English)",#008000
apple_green,"Apple Green",#8db600
apricot,"Apricot",#fbceb1
aqua,"Aqua",#0ff
aquamarine,"Aquamarine",#7fffd4
army_green,"Army Green",#4b5320
arsenic,"Arsenic",#3b444b
arylide_yellow,"Arylide Yellow",#e9d66b
ash_grey,"Ash Grey",#b2beb5
asparagus,"Asparagus",#6a9549
atomic_tangerine,"Atomic Tangerine",#f96
auburn,"Auburn",#a52a2a
aureolin,"Aureolin",#fdee00
aurometalsaurus,"Aurometalsaurus",#6e7f80
avocado,"Avocado",#568203
azure,"Azure",#007fff
azure_mist_web,"Azure Mist/Web",#f0ffff
baby_blue,"Baby Blue",#89cff0
baby_blue_eyes,"Baby Blue Eyes",#a1caf1
baby_pink,"Baby Pink",#f4c2c2
ball_blue,"Ball Blue",#21abcd
banana_mania,"Banana Mania",#fae7b5
banana_yellow,"Banana Yellow",#ffe135
barn_red,"Barn Red",#7c0a02
battleship_grey,"Battleship Grey",#848482
bazaar,"Bazaar",#98777b
beau_blue,"Beau Blue",#bcd4e6
beaver,"Beaver",#9f8170
beige,"Beige",#f5f5dc
big_dip_o_ruby,"Big Dip O’Ruby",#9c2542
bisque,"Bisque",#ffe4c4
bistre,"Bistre",#3d2b1f
bitter,"Bitter",#858a7e
bittersweet,"Bittersweet",#fe6f5e
bittersweet_shimmer,"Bittersweet Shimmer",#bf4f51
black,"Black",#000
black_bean,"Black Bean",#3d0c02
blackcurrant,"Blackcurrant",#332a37
black_leather_jacket,"Black Leather Jacket",#253529
black_olive,"Black Olive",#3b3c36
blanched_almond,"Blanched Almond",#ffebcd
blast_off_bronze,"Blast-Off Bronze",#a57164
bleu_de_france,"Bleu De France",#318ce7
blizzard_blue,"Blizzard Blue",#ace5ee
blond,"Blond",#faf0be
blue,"Blue",#00f
blue_bell,"Blue Bell",#a2a2d0
blue_crayola,"Blue (Crayola)",#1f75fe
blue_gray,"Blue Gray",#69c
blue_green,"Blue-Green",#0d98ba
blue_munsell,"Blue (Munsell)",#0093af
blue_ncs,"Blue (Ncs)",#0087bd
blue_pigment,"Blue (Pigment)",#339
blue_ryb,"Blue (Ryb)",#0247fe
blue_sapphire,"Blue Sapphire",#126180
blue_violet,"Blue-Violet",#8a2be2
blush,"Blush",#de5d83
bole,"Bole",#79443b
bondi_blue,"Bondi Blue",#0095b6
bone,"Bone",#e3dac9
boston_university_red,"Boston University Red",#c00
bottle_green,"Bottle Green",#006a4e
bouquet,"Bouquet",#ab70a2
boysenberry,"Boysenberry",#873260
brandeis_blue,"Brandeis Blue",#0070ff
brass,"Brass",#b5a642
brick_red,"Brick Red",#cb4154
bright_cerulean,"Bright Cerulean",#1dacd6
bright_green,"Bright Green",#6f0
bright_lavender,"Bright Lavender",#bf94e4
bright_maroon,"Bright Maroon",#c32148
bright_pink,"Bright Pink",#ff007f
bright_turquoise,"Bright Turquoise",#08e8de
bright_ube,"Bright Ube",#d19fe8
brilliant_lavender,"Brilliant Lavender",#f4bbff
brilliant_rose,"Brilliant Rose",#ff55a3
brink_pink,"Brink Pink",#fb607f
british_racing_green,"British Racing Green",#004225
bronze,"Bronze",#cd7f32
brown_rust,"Brown Rust",#b05938
brown_traditional,"Brown (Traditional)",#964b00
brown_web,"Brown (Web)",#a52a2a
bubble_gum,"Bubble Gum",#ffc1cc
bubbles,"Bubbles",#e7feff
buff,"Buff",#f0dc82
bulgarian_rose,"Bulgarian Rose",#480607
burgundy,"Burgundy",#800020
burlywood,"Burlywood",#deb887
burning_sand,"Burning Sand",#d68c6d
burnt_orange,"Burnt Orange",#c50
burnt_sienna,"Burnt Sienna",#e97451
burnt_umber,"Burnt Umber",#8a3324
byzantine,"Byzantine",#bd33a4
byzantium,"Byzantium",#702963
cadet,"Cadet",#536872
cadet_blue,"Cadet Blue",#5f9ea0
cadet_grey,"Cadet Grey",#91a3b0
cadmium_green,"Cadmium Green",#006b3c
cadmium_orange,"Cadmium Orange",#ed872d
cadmium_red,"Cadmium Red",#e30022
cadmium_yellow,"Cadmium Yellow",#fff600
caf_au_lait,"Café Au Lait",#a67b5b
caf_noir,"Café Noir",#4b3621
cal_poly_green,"Cal Poly Green",#1e4d2b
cambridge_blue,"Cambridge Blue",#a3c1ad
camel,"Camel",#c19a6b
cameo_pink,"Cameo Pink",#efbbcc
camouflage_green,"Camouflage Green",#78866b
canary_yellow,"Canary Yellow",#ffef00
candy_apple_red,"Candy Apple Red",#ff0800
candy_pink,"Candy Pink",#e4717a
capri,"Capri",#00bfff
caput_mortuum,"Caput Mortuum",#592720
cardinal,"Cardinal",#c41e3a
caribbean_green,"Caribbean Green",#0c9
carmine,"Carmine",#960018
carmine_m_p,"Carmine (M&P)",#d70040
carmine_pink,"Carmine Pink",#eb4c42
carmine_red,"Carmine Red",#ff0038
carnation_pink,"Carnation Pink",#ffa6c9
carnelian,"Carnelian",#b31b1b
carolina_blue,"Carolina Blue",#99badd
carrot_orange,"Carrot Orange",#ed9121
catalina_blue,"Catalina Blue",#062a78
ceil,"Ceil",#92a1cf
celadon,"Celadon",#ace1af
celadon_blue,"Celadon Blue",#007ba7
celadon_green,"Celadon Green",#2f847c
celeste_colour,"Celeste (Colour)",#b2ffff
celestial_blue,"Celestial Blue",#4997d0
cerise,"Cerise",#de3163
cerise_pink,"Cerise Pink",#ec3b83
cerulean,"Cerulean",#007ba7
cerulean_blue,"Cerulean Blue",#2a52be
cerulean_frost,"Cerulean Frost",#6d9bc3
cg_blue,"Cg Blue",#007aa5
cg_red,"Cg Red",#e03c31
chamoisee,"Chamoisee",#a0785a
champagne,"Champagne",#fad6a5
charcoal,"Charcoal",#36454f
charm_pink,"Charm Pink",#e68fac
chartreuse_traditional,"Chartreuse (Traditional)",#dfff00
chartreuse_web,"Chartreuse (Web)",#7fff00
cherry,"Cherry",#de3163
cherry_blossom_pink,"Cherry Blossom Pink",#ffb7c5
chestnut,"Chestnut",#cd5c5c
china_pink,"China Pink",#de6fa1
china_rose,"China Rose",#a8516e
chinese_red,"Chinese Red",#aa381e
chocolate_traditional,"Chocolate (Traditional)",#7b3f00
chocolate_web,"Chocolate (Web)",#d2691e
chrome_yellow,"Chrome Yellow",#ffa700
cinereous,"Cinereous",#98817b
cinnabar,"Cinnabar",#e34234
cinnamon,"Cinnamon",#d2691e
citrine,"Citrine",#e4d00a
classic_rose,"Classic Rose",#fbcce7
cobalt,"Cobalt",#0047ab
cocoa_brown,"Cocoa Brown",#d2691e
coffee,"Coffee",#6f4e37
columbia_blue,"Columbia Blue",#9bddff
congo_pink,"Congo Pink",#f88379
cool_black,"Cool Black",#002e63
cool_grey,"Cool Grey",#8c92ac
copper,"Copper",#b87333
copper_crayola,"Copper (Crayola)",#da8a67
copper_penny,"Copper Penny",#ad6f69
copper_red,"Copper Red",#cb6d51
copper_rose,"Copper Rose",#966
coquelicot,"Coquelicot",#ff3800
coral,"Coral",#ff7f50
coral_pink,"Coral Pink",#f88379
coral_red,"Coral Red",#ff4040
cordovan,"Cordovan",#893f45
corn,"Corn",#fbec5d
cornell_red,"Cornell Red",#b31b1b
cornflower_blue,"Cornflower Blue",#6495ed
cornsilk,"Cornsilk",#fff8dc
cosmic_latte,"Cosmic Latte",#fff8e7
cotton_candy,"Cotton Candy",#ffbcd9
cream,"Cream",#fffdd0
crimson,"Crimson",#dc143c
crimson_glory,"Crimson Glory",#be0032
cyan,"Cyan",#0ff
cyan_process,"Cyan (Process)",#00b7eb
daffodil,"Daffodil",#ffff31
dandelion,"Dandelion",#f0e130
dark_blue,"Dark Blue",#00008b
dark_brown,"Dark Brown",#654321
dark_byzantium,"Dark Byzantium",#5d3954
dark_candy_apple_red,"Dark Candy Apple Red",#a40000
dark_cerulean,"Dark Cerulean",#08457e
dark_chestnut,"Dark Chestnut",#986960
dark_coral,"Dark Coral",#cd5b45
dark_cyan,"Dark Cyan",#008b8b
dark_electric_blue,"Dark Electric Blue",#536878
dark_goldenrod,"Dark Goldenrod",#b8860b
dark_gray,"Dark Gray",#a9a9a9
dark_green,"Dark Green",#013220
dark_imperial_blue,"Dark Imperial Blue",#00416a
dark_jungle_green,"Dark Jungle Green",#1a2421
dark_khaki,"Dark Khaki",#bdb76b
dark_lava,"Dark Lava",#483c32
dark_lavender,"Dark Lavender",#734f96
dark_magenta,"Dark Magenta",#8b008b
dark_midnight_blue,"Dark Midnight Blue",#036
dark_olive_green,"Dark Olive Green",#556b2f
dark_orange,"Dark Orange",#ff8c00
dark_orchid,"Dark Orchid",#9932cc
dark_pastel_blue,"Dark Pastel Blue",#779ecb
dark_pastel_green,"Dark Pastel Green",#03c03c
dark_pastel_purple,"Dark Pastel Purple",#966fd6
dark_pastel_red,"Dark Pastel Red",#c23b22
dark_pink,"Dark Pink",#e75480
dark_powder_blue,"Dark Powder Blue",#039
dark_raspberry,"Dark Raspberry",#872657
dark_red,"Dark Red",#8b0000
dark_salmon,"Dark Salmon",#e9967a
dark_scarlet,"Dark Scarlet",#560319
dark_sea_green,"Dark Sea Green",#8fbc8f
dark_sienna,"Dark Sienna",#3c1414
dark_slate_blue,"Dark Slate Blue",#483d8b
